order_id,customer_id,order_purchase_ts,order_date,order_status,item_value,freight_value,gross_value,delivery_days,delivered_minus_estimated_days,on_time_delivery_flag
1,268,2018-05-25 07:44:47,2018-05-25,Delivered,88.26,6.04,94.3,7,-1,1.0
2,2322,2017-10-21 10:01:58,2017-10-21,Delivered,87.72,7.98,95.7,8,1,0.0
3,1964,2018-05-15 10:57:15,2018-05-15,Delivered,50.32,17.81,68.13,8,2,0.0
4,1317,2017-02-08 23:40:33,2017-02-08,Delivered,62.73,14.95,77.68,8,-4,1.0
5,1300,2017-03-30 08:21:19,2017-03-30,Delivered,57.68,15.68,73.36,12,-1,1.0
6,2576,2016-11-10 21:25:31,2016-11-10,Delivered,106.15,19.56,125.71,5,2,0.0
7,258,2018-02-07 19:17:20,2018-02-07,Delivered,124.83,7.81,132.64,8,5,0.0
8,2093,2018-03-24 15:04:10,2018-03-24,Delivered,49.3,9.46,58.76,9,1,0.0
9,605,2017-04-11 06:56:10,2017-04-11,Delivered,85.99,21.63,107.62,10,4,0.0
10,283,2017-06-27 22:21:20,2017-06-27,Canceled,21.96,9.21,31.17,11,3,
11,1580,2017-11-18 04:28:32,2017-11-18,Delivered,81.42,17.8,99.22,6,0,1.0
12,2927,2018-04-11 03:59:37,2018-04-11,Delivered,8.0,17.78,25.78,7,-1,1.0
13,2208,2017-04-26 04:09:55,2017-04-26,Delivered,32.19,16.08,48.27,11,4,0.0
14,2284,2017-09-16 11:37:42,2017-09-16,Delivered,23.79,13.33,37.12,13,6,0.0
15,2153,2017-01-25 09:28:49,2017-01-25,Delivered,8.07,21.63,29.7,6,0,1.0
16,2359,2018-05-22 23:12:45,2018-05-22,Delivered,45.47,14.53,60.0,5,-3,1.0
17,1540,2018-07-11 03:24:01,2018-07-11,Delivered,127.23,6.05,133.28,6,-3,1.0
18,385,2018-03-29 17:13:23,2018-03-29,Processing,14.38,16.55,30.93,10,1,
19,2520,2018-05-27 08:50:59,2018-05-27,Delivered,89.59,14.53,104.12,7,1,0.0
20,1352,2018-04-17 16:09:28,2018-04-17,Delivered,140.86,13.5,154.36,12,3,0.0
21,1502,2018-06-12 00:00:33,2018-06-12,Canceled,156.08,9.83,165.91,10,0,
22,1113,2017-08-01 20:57:28,2017-08-01,Delivered,46.19,11.93,58.12,11,6,0.0
23,548,2017-02-09 20:21:33,2017-02-09,Delivered,44.16,9.3,53.46,8,-3,1.0
24,2781,2018-09-16 23:47:52,2018-09-16,Delivered,34.12,8.88,43.0,3,-7,1.0
25,2345,2016-09-05 19:51:09,2016-09-05,Delivered,135.66,8.15,143.81,3,-6,1.0
26,1932,2017-07-14 06:16:59,2017-07-14,Delivered,68.37,5.72,74.09,9,2,0.0
27,1208,2018-03-19 09:37:35,2018-03-19,Delivered,37.29,8.94,46.23,10,5,0.0
28,2469,2018-05-10 02:24:11,2018-05-10,Delivered,28.15,9.4,37.55,6,-2,1.0
29,1637,2018-02-15 22:25:30,2018-02-15,Delivered,82.24,8.44,90.68,5,-7,1.0
30,1331,2017-09-17 10:51:05,2017-09-17,Delivered,34.59,22.69,57.28,5,-2,1.0
31,1352,2018-08-18 01:11:49,2018-08-18,Delivered,85.48,15.66,101.14,6,-3,1.0
32,682,2017-03-04 17:18:33,2017-03-04,Delivered,60.18,22.12,82.3,9,0,1.0
33,277,2016-12-22 19:49:05,2016-12-22,Delivered,229.13,8.41,237.54,4,-6,1.0
34,1664,2018-01-03 03:36:41,2018-01-03,Delivered,40.85,8.03,48.88,1,-13,1.0
35,2664,2017-05-09 17:26:58,2017-05-09,Delivered,74.99,1.94,76.93,2,-7,1.0
36,192,2017-09-01 14:55:05,2017-09-01,Delivered,76.91,13.55,90.46,4,-6,1.0
37,2575,2017-08-23 04:33:13,2017-08-23,Delivered,79.25,9.24,88.49,12,10,0.0
